collector_timestamp,flow_id,src_ip,dst_ip,src_port,dst_port,protocol,seq_num,reporting_sw,hops,egress_port_tx_util,egress_timestamp,hop_latency,ingress_timestamp,l1_egress_port_id,l1_ingress_port_id,l2_egress_port_id,l2_ingress_port_id,queue_occupancy,queue_occupancy_id,switch_id
1713556120.8350039,11,10.0.2.2,10.0.4.2,7676,7878,17,11,2,3,0,1713556120829791000,616,1713556120829175000,1,2,0,0,0,0,0
1713556120.9353073,12,10.0.2.2,10.0.4.2,7676,7878,17,12,2,3,0,1713556120933008000,1608782480,0,4,0,0,0,0,0,2
1713556120.9353073,12,10.0.2.2,10.0.4.2,7676,7878,17,12,2,3,0,1713556120931635000,697,1713556120930938000,2,1,0,0,0,0,1
1713556120.9353073,12,10.0.2.2,10.0.4.2,7676,7878,17,12,2,3,0,1713556120930226000,691,1713556120929535000,1,2,0,0,0,0,0
1713556121.0358737,13,10.0.2.2,10.0.4.2,7676,7878,17,13,2,3,0,1713556121033203000,1608882675,0,4,0,0,0,0,0,2
1713556121.0358737,13,10.0.2.2,10.0.4.2,7676,7878,17,13,2,3,0,1713556121031841000,498,1713556121031343000,2,1,0,0,0,0,1
1713556121.0358737,13,10.0.2.2,10.0.4.2,7676,7878,17,13,2,3,0,1713556121030601000,625,1713556121029976000,1,2,0,0,0,0,0
1713556121.1367054,14,10.0.2.2,10.0.4.2,7676,7878,17,14,2,3,0,1713556121134166000,1608983638,0,4,0,0,0,0,0,2
1713556121.1367054,14,10.0.2.2,10.0.4.2,7676,7878,17,14,2,3,0,1713556121132702000,543,1713556121132159000,2,1,0,0,0,0,1
1713556121.1367054,14,10.0.2.2,10.0.4.2,7676,7878,17,14,2,3,0,1713556121131077000,726,1713556121130351000,1,2,0,0,0,0,0
1713556121.2363253,15,10.0.2.2,10.0.4.2,7676,7878,17,15,2,3,0,1713556121233867000,1609083339,0,4,0,0,0,0,0,2
1713556121.2363253,15,10.0.2.2,10.0.4.2,7676,7878,17,15,2,3,0,1713556121232511000,437,1713556121232074000,2,1,0,0,0,0,1
1713556121.2363253,15,10.0.2.2,10.0.4.2,7676,7878,17,15,2,3,0,1713556121231359000,607,1713556121230752000,1,2,0,0,0,0,0
1713556121.3372326,16,10.0.2.2,10.0.4.2,7676,7878,17,16,2,3,0,1713556121334408000,1609183880,0,4,0,0,0,0,0,2
1713556121.3372326,16,10.0.2.2,10.0.4.2,7676,7878,17,16,2,3,0,1713556121333009000,469,1713556121332540000,2,1,0,0,0,0,1
1713556121.3372326,16,10.0.2.2,10.0.4.2,7676,7878,17,16,2,3,0,1713556121331781000,658,1713556121331123000,1,2,0,0,0,0,0
1713556121.4375021,17,10.0.2.2,10.0.4.2,7676,7878,17,17,2,3,0,1713556121434929000,1609284401,0,4,0,0,0,0,0,2
1713556121.4375021,17,10.0.2.2,10.0.4.2,7676,7878,17,17,2,3,0,1713556121433465000,482,1713556121432983000,2,1,0,0,0,0,1
1713556121.4375021,17,10.0.2.2,10.0.4.2,7676,7878,17,17,2,3,0,1713556121432190000,630,1713556121431560000,1,2,0,0,0,0,0
1713556121.5381777,18,10.0.2.2,10.0.4.2,7676,7878,17,18,2,3,0,1713556121535197000,1609384669,0,4,0,0,0,0,0,2
1713556121.5381777,18,10.0.2.2,10.0.4.2,7676,7878,17,18,2,3,0,1713556121533861000,526,1713556121533335000,2,1,0,0,0,0,1
1713556121.5381777,18,10.0.2.2,10.0.4.2,7676,7878,17,18,2,3,0,1713556121532538000,668,1713556121531870000,1,2,0,0,0,0,0
1713556121.638044,19,10.0.2.2,10.0.4.2,7676,7878,17,19,2,3,0,1713556121635938000,1609485410,0,4,0,0,0,0,0,2
1713556121.638044,19,10.0.2.2,10.0.4.2,7676,7878,17,19,2,3,0,1713556121634283000,585,1713556121633698000,2,1,0,0,0,0,1
1713556121.638044,19,10.0.2.2,10.0.4.2,7676,7878,17,19,2,3,0,1713556121633004000,736,1713556121632268000,1,2,0,0,0,0,0
1713556121.7379107,20,10.0.2.2,10.0.4.2,7676,7878,17,20,2,3,0,1713556121735760000,1609585232,0,4,0,0,0,0,0,2
1713556121.7379107,20,10.0.2.2,10.0.4.2,7676,7878,17,20,2,3,0,1713556121734416000,474,1713556121733942000,2,1,0,0,0,0,1
1713556121.7379107,20,10.0.2.2,10.0.4.2,7676,7878,17,20,2,3,0,1713556121733221000,643,1713556121732578000,1,2,0,0,0,0,0
1713556121.8388212,21,10.0.2.2,10.0.4.2,7676,7878,17,21,2,3,0,1713556121836190000,1609685662,0,4,0,0,0,0,0,2
1713556121.8388212,21,10.0.2.2,10.0.4.2,7676,7878,17,21,2,3,0,1713556121834801000,465,1713556121834336000,2,1,0,0,0,0,1
1713556121.8388212,21,10.0.2.2,10.0.4.2,7676,7878,17,21,2,3,0,1713556121833590000,633,1713556121832957000,1,2,0,0,0,0,0
1713556121.938748,22,10.0.2.2,10.0.4.2,7676,7878,17,22,2,3,0,1713556121936654000,1609786126,0,4,0,0,0,0,0,2
1713556121.938748,22,10.0.2.2,10.0.4.2,7676,7878,17,22,2,3,0,1713556121935183000,456,1713556121934727000,2,1,0,0,0,0,1
1713556121.938748,22,10.0.2.2,10.0.4.2,7676,7878,17,22,2,3,0,1713556121934035000,698,1713556121933337000,1,2,0,0,0,0,0
1713556122.0390933,23,10.0.2.2,10.0.4.2,7676,7878,17,23,2,3,0,1713556122036982000,1609886454,0,4,0,0,0,0,0,2
1713556122.0390933,23,10.0.2.2,10.0.4.2,7676,7878,17,23,2,3,0,1713556122035621000,529,1713556122035092000,2,1,0,0,0,0,1
1713556122.0390933,23,10.0.2.2,10.0.4.2,7676,7878,17,23,2,3,0,1713556122034369000,616,1713556122033753000,1,2,0,0,0,0,0
1713556122.139851,24,10.0.2.2,10.0.4.2,7676,7878,17,24,2,3,0,1713556122137550000,1609987022,0,4,0,0,0,0,0,2
1713556122.139851,24,10.0.2.2,10.0.4.2,7676,7878,17,24,2,3,0,1713556122136139000,519,1713556122135620000,2,1,0,0,0,0,1
1713556122.139851,24,10.0.2.2,10.0.4.2,7676,7878,17,24,2,3,0,1713556122134825000,783,1713556122134042000,1,2,0,0,0,0,0
1713556122.240511,25,10.0.2.2,10.0.4.2,7676,7878,17,25,2,3,0,1713556122238260000,1610087732,0,4,0,0,0,0,0,2
1713556122.240511,25,10.0.2.2,10.0.4.2,7676,7878,17,25,2,3,0,1713556122236817000,547,1713556122236270000,2,1,0,0,0,0,1
