collector_timestamp,flow_id,src_ip,dst_ip,src_port,dst_port,protocol,seq_num,reporting_sw,hops,egress_port_tx_util,egress_timestamp,hop_latency,ingress_timestamp,l1_egress_port_id,l1_ingress_port_id,l2_egress_port_id,l2_ingress_port_id,queue_occupancy,queue_occupancy_id,switch_id
1713561749.9819875,12,10.0.2.2,10.0.4.2,7676,7878,17,12,2,3,0,1713561749979688000,2942861864,0,4,0,0,0,0,0,2
1713561749.9819875,12,10.0.2.2,10.0.4.2,7676,7878,17,12,2,3,0,1713561749978218000,602,1713561749977616000,2,1,0,0,0,0,1
1713561749.9819875,12,10.0.2.2,10.0.4.2,7676,7878,17,12,2,3,0,1713561749976910000,962,1713561749975948000,1,2,0,0,0,0,0
1713561750.0821643,13,10.0.2.2,10.0.4.2,7676,7878,17,13,2,3,0,1713561750079988000,2942962164,0,4,0,0,0,0,0,2
1713561750.0821643,13,10.0.2.2,10.0.4.2,7676,7878,17,13,2,3,0,1713561750078517000,539,1713561750077978000,2,1,0,0,0,0,1
1713561750.0821643,13,10.0.2.2,10.0.4.2,7676,7878,17,13,2,3,0,1713561750077239000,866,1713561750076373000,1,2,0,0,0,0,0
1713561750.182061,14,10.0.2.2,10.0.4.2,7676,7878,17,14,2,3,0,1713561750179968000,2943062144,0,4,0,0,0,0,0,2
1713561750.182061,14,10.0.2.2,10.0.4.2,7676,7878,17,14,2,3,0,1713561750178426000,461,1713561750177965000,2,1,0,0,0,0,1
1713561750.182061,14,10.0.2.2,10.0.4.2,7676,7878,17,14,2,3,0,1713561750177285000,662,1713561750176623000,1,2,0,0,0,0,0
1713561750.281732,15,10.0.2.2,10.0.4.2,7676,7878,17,15,2,3,0,1713561750280885000,2943163061,0,4,0,0,0,0,0,2
1713561750.281732,15,10.0.2.2,10.0.4.2,7676,7878,17,15,2,3,0,1713561750279242000,620,1713561750278622000,2,1,0,0,0,0,1
1713561750.281732,15,10.0.2.2,10.0.4.2,7676,7878,17,15,2,3,0,1713561750277805000,748,1713561750277057000,1,2,0,0,0,0,0
1713561750.3839629,16,10.0.2.2,10.0.4.2,7676,7878,17,16,2,3,0,1713561750380923000,2943263099,0,4,0,0,0,0,0,2
1713561750.3839629,16,10.0.2.2,10.0.4.2,7676,7878,17,16,2,3,0,1713561750379426000,490,1713561750378936000,2,1,0,0,0,0,1
1713561750.3839629,16,10.0.2.2,10.0.4.2,7676,7878,17,16,2,3,0,1713561750378171000,685,1713561750377486000,1,2,0,0,0,0,0
1713561750.4839368,17,10.0.2.2,10.0.4.2,7676,7878,17,17,2,3,0,1713561750481144000,2943363320,0,4,0,0,0,0,0,2
1713561750.4839368,17,10.0.2.2,10.0.4.2,7676,7878,17,17,2,3,0,1713561750479720000,521,1713561750479199000,2,1,0,0,0,0,1
1713561750.4839368,17,10.0.2.2,10.0.4.2,7676,7878,17,17,2,3,0,1713561750478499000,676,1713561750477823000,1,2,0,0,0,0,0
1713561750.5842872,18,10.0.2.2,10.0.4.2,7676,7878,17,18,2,3,0,1713561750581775000,2943463951,0,4,0,0,0,0,0,2
1713561750.5842872,18,10.0.2.2,10.0.4.2,7676,7878,17,18,2,3,0,1713561750580293000,507,1713561750579786000,2,1,0,0,0,0,1
1713561750.5842872,18,10.0.2.2,10.0.4.2,7676,7878,17,18,2,3,0,1713561750578939000,629,1713561750578310000,1,2,0,0,0,0,0
1713561750.6850152,19,10.0.2.2,10.0.4.2,7676,7878,17,19,2,3,0,1713561750682533000,2943564709,0,4,0,0,0,0,0,2
1713561750.6850152,19,10.0.2.2,10.0.4.2,7676,7878,17,19,2,3,0,1713561750681025000,806,1713561750680219000,2,1,0,0,0,0,1
1713561750.6850152,19,10.0.2.2,10.0.4.2,7676,7878,17,19,2,3,0,1713561750679351000,674,1713561750678677000,1,2,0,0,0,0,0
